Full Name,First Name,Last Name,Title of Presentation,Appeared,Paper Title,Link To Paper,Experiment Type,No Publications,Corresponding Chapter,Corresponding Chapter.1,Added to Zotero,Worker(s),Checked by RP,Action Needed
Pedro Rey-Biel,pedro,rey-biel,Endowment Effect and the Success of Selling: An Experimental Study in China,No,,,,,,,FALSE,,FALSE,
Peilu Zhang,peilu,zhang,Improving Dynamic Optimization in Life-Cycle Consumption Experiments,No,,,,,,,FALSE,,FALSE,
Peiran Jiao,peiran,jiao,Measuring strategic-uncertainty attitudes,Yes,,,,,,,,,,
Peiyao Shen,peiyao,shen,"""Make it count: Increasing calorie information uptake""",No,,,,,,,FALSE,,FALSE,
Pellumb Reshidi,pellumb,reshidi,"""Belief in fake news. Effect of echo chambers and digital citizenship identifying fake news. Evidence from Chile""",No,,,,,,,FALSE,,FALSE,
Peter BARDSLEY,peter,bardsley,"Implications of Trust, Fear, and Reciprocity for Modeling Economic Behavior",No,,,,,,,FALSE,,FALSE,
Peter Bossaert,peter,bossaert,Controlling out the Unobserved Human Factor?,No,,,,,,,FALSE,,FALSE,
Peter Bossaerts,peter,bossaerts,An experimental study on dishonesty: The effect of ambiguity and framing,No,,,,,,,FALSE,,FALSE,
Peter Duersch,peter,duersch,Response to institutional changes in dictator games and cognitive skills: Evidence from children,No,,,,,,,FALSE,,FALSE,
Peter DUERSCH,peter,duersch,", “Are prior beliefs affected by task complexity?”",No,,,,,,,FALSE,,FALSE,
Peter Dursch,peter,dursch,The Emergence of Economic Institutions:A Neuronal Perspective,No,,,,,,,FALSE,,FALSE,
Peter Katuscak,peter,katuscak,"""Voicing disagreement in science: Missing women""",No,,,,,,,FALSE,,FALSE,
Peter Kriss,peter,kriss,Bad Luck or Failure? The Impact of Not Being Rewarded on Work Performance,No,,,,,,,FALSE,,FALSE,
Peter Lewisch,peter,lewisch,I and we: spillovers between individual and social tasks,No,,,,,,,FALSE,,FALSE,
Peter Martinsson,peter,martinsson,Bidding to Give in the Field: Door-to-Door Fundraisers Had it RIght from the Start,No,,,,,,,FALSE,,FALSE,
Peter MARTINSSON,peter,martinsson,Ethics and strategic intermediation,No,,,,,,,FALSE,,FALSE,
Peter Matthews,peter,matthews,"""Task Completion Without Commitment""",No,,,,,,,FALSE,,FALSE,
Peter McGee,peter,mcgee,,No,,,,,,,FALSE,,FALSE,
Peter Moffatt,peter,moffatt,"Two Field Experiments on Self-Selection, Collaboration Intensity, and Team Performance",No,,,,,,,FALSE,,FALSE,
Peter Twieg,peter,twieg,Periodic Frequencies of the Cycles in 2 x 2 Games,No,,,,,,,FALSE,,FALSE,
Peter Werner,peter,werner,Context-dependent perceptions and decision making,Yes,,,,,,,,,,
Petra Nieken,petra,nieken,The effects of a larger contract zone under arbitration,Yes,,,,,,,,,,
Phil Limberg,phil,limberg,"""Passive or Active? Behavioral changes in different designs of search experiments""",No,,,,,,,FALSE,,FALSE,
Philip Brookins,philip,brookins,“Balancing paid market work and unpaid care work: An experiment”,No,,,,,,,FALSE,,FALSE,
Philip Grossman,philip,grossman,"""Empirical Evaluation of Cost of Annoying Ads""",Yes,,,,,,,,,,
Philip J. Grossman,philip,grossman,Small Stakes Risk Aversion and the Endowment Effect,Yes,,,,,,,,,,
Philip Mellizo,philip,mellizo,“The role of Information in a Continuous Double Auction - Individual Evolutionary Learning and,No,,,,,,,FALSE,,FALSE,
Philip Melnikov,philip,melnikov,"""Least Squares Learning? Evidence from the Laboratory""",No,,,,,,,FALSE,,FALSE,
Philip Neary,philip,neary,A revealed preference test of behavioral theories in asset markets,No,,,,,,,FALSE,,FALSE,
Philip Solimine,philip,solimine,“Bias in Estimating Behavioral Game Theory Models”,No,,,,,,,FALSE,,FALSE,
Philipp Astor,philipp,astor,Financing and Signaling Under Asymmetric Information,No,,,,,,,FALSE,,FALSE,
Philipp Händel,philipp,händel,"""Trust and Welfare Effects of Exogenous Sorting in Information Cascades""",No,,,,,,,FALSE,,FALSE,
Philipp Krügel,philipp,krügel,"""Cooperation, Emotions, and Punishment in Public Good Experiments: A Biometric Investigation""",No,,,,,,,FALSE,,FALSE,
Philipp Lergetporer,philipp,lergetporer,Money Illusion and Intentions in an Experimental Labour Market,No,,,,,,,FALSE,,FALSE,
Philipp Marquardt,philipp,marquardt,Organizational Design and Coordination Failure in the Network Minimum Game,No,,,,,,,FALSE,,FALSE,
Philippe Gillen,philippe,gillen,Who benefits from physician competition? A laboratory experiment on the relevance of patients' mobility and state of health,No,,,,,,,FALSE,,FALSE,
Philippos Louis,philippos,louis,"Stakes, externalities and lying",No,,,,,,,FALSE,,FALSE,
Phoebe Cai,phoebe,cai,"""Trust, Honesty, and Strategic Interactions""",No,,,,,,,FALSE,,FALSE,
Phuc Phung,phuc,phung,Braggart or humble? The effect of self-reports on performance,No,,,,,,,FALSE,,FALSE,
Phumsith Mahasuweerachai,phumsith,mahasuweerachai,,No,,,,,,,FALSE,,FALSE,
Pierluigi Conzo,pierluigi,conzo,Would I Lie to You? An experiment on project selection with biased advice,No,,,,,,,FALSE,,FALSE,
Pierluigi Sabbatini,pierluigi,sabbatini,Segregated Meritocracies - the Effects of Likemindedness,No,,,,,,,FALSE,,FALSE,
Pierre-Jean Cottalorda,pierre-jean,cottalorda,A Mathematical Approach to Preference Formation in 2x2 Games,No,,,,,,,FALSE,,FALSE,
Pierre-Jean COTTALORDA,pierre-jean,cottalorda,“Why Deferred Acceptance?: An Experimental Look at Strategy in Two-Sided Matching Markets”,No,,,,,,,FALSE,,FALSE,
Pietro Guarnieri,pietro,guarnieri,"""Do Scientists Tell the Truth? Global Experimental Evidence""",No,,,,,,,FALSE,,FALSE,
Pietro Ortoleva,pietro,ortoleva,"Incentives, Information and Psychological Competition in a Real Effort Task",No,,,,,,,FALSE,,FALSE,
Pinghan Liang,pinghan,liang,An Experimental Comparison of Independence Axioms Under Risk and Under Ambiguity,No,,,,,,,FALSE,,FALSE,
Piotr Evdokimov,piotr,evdokimov,"""Absolute versus Relative: Asymmetric Framing and Feedback Design in a Heterogeneous-Endowment Public Goods Game""",No,,,,,,,FALSE,,FALSE,
Piruz Saboury,piruz,saboury,“Symmetric and Asymmetric Network Provision and Appropriation Games”,No,,,,,,,FALSE,,FALSE,
Po-Hsuan Lin,po-hsuan,lin,,No,,,,,,,FALSE,,FALSE,
Pol Campos-Mercade,pol,campos-mercade,“Timing of Informativeness”,Yes,,,,,,,,,,
Pol Campos-Mercade-,pol,campos-mercade-,"""Does lying for others dominate lying aversion?""",No,,,,,,,FALSE,,FALSE,
Pooja Balasubramanian,pooja,balasubramanian,The Impact of Organisational Form on Contract Design and Buyer-Seller Interaction,No,,,,,,,FALSE,,FALSE,
Prachi Hejib,prachi,hejib,"""What Happens to Investment Choices when Interest Rates Change? An Experimental Study""",No,,,,,,,FALSE,,FALSE,
Prachi Jain,prachi,jain,,No,,,,,,,FALSE,,FALSE,
Praveen Kujal,praveen,kujal,The Desirability of Cheating in Optimal Income Taxation,No,,,,,,,FALSE,,FALSE,
Praveen KUJAL,praveen,kujal,Reference-dependent preferences and labor supply,No,,,,,,,FALSE,,FALSE,
Prithvijit Mukerjee,prithvijit,mukerjee,"""Revealing the Economic Consequences of Group Cohesion""",No,,,,,,,FALSE,,FALSE,
Prithvijit Mukherjee,prithvijit,mukherjee,Shifting the reward for kind delegation,No,,,,,,,FALSE,,FALSE,
Priyadarshi Banerjee,priyadarshi,banerjee,The Development of Strategic Cognition,No,,,,,,,FALSE,,FALSE,
Priyama Majumdar,priyama,majumdar,“Inference from Biased Polls”,No,,,,,,,FALSE,,FALSE,
Priyanka Chakraborty,priyanka,chakraborty,"“Does endogenous R&D sharing lead to an inverted U between R&D investment and competition? An experimental approach,” ",No,,,,,,,FALSE,,FALSE,
Priyoma Mustaf,priyoma,mustaf,Moral repugnance and the role of agency,No,,,,,,,FALSE,,FALSE,
Priyoma Mustafi,priyoma,mustafi,“A Tale of Two Goods: The Role of Environmentally Friendly Products in Consumer Choice and Public Policy”,No,,,,,,,FALSE,,FALSE,
Puja Bhattacharya,puja,bhattacharya,Human AI Interaction in the Exploration and Exploitation Dilemma,No,,,,,,,FALSE,,FALSE,
Pushkar Maitra,pushkar,maitra,,No,,,,,,,FALSE,,FALSE,
Qian Neng,qian,neng,"Dynamic Consistency, Sample Selection and Attrition: A Panel Experiment on Individual Discount Rates",No,,,,,,,FALSE,,FALSE,
Qian Weng,qian,weng,Affirmative Action Policies and Behaviour in Promotional Tournaments: An Experiment,No,,,,,,,FALSE,,FALSE,
Qilin Zhang,qilin,zhang,"""Bubbles, experience and success""",No,,,,,,,FALSE,,FALSE,
Qing Zhang,qing,zhang,"""Choosing the best pond to motivate performance: relative feedback and performance in groups""",No,,,,,,,FALSE,,FALSE,
Qinnan Ruan,qinnan,ruan,"""Impact of lying aversion and prosociality on cheating""",No,,,,,,,FALSE,,FALSE,
Qinyou Hu,qinyou,hu,"""Can Interventions Targeting Community Attitudes Improve Education for Marginalized Students? Evidence from a Mixed-Methods Experimental Design in Zimbabwe""",No,,,,,,,FALSE,,FALSE,
Qiqi Cheng,qiqi,cheng,Voluntary and Mandatory provision of Common Pool Resources with Heterogeneous appropriators,No,,,,,,,FALSE,,FALSE,
Qiqi Wang,qiqi,wang,Delegation in the provision of global public goods,No,,,,,,,FALSE,,FALSE,
Qitong Feng,qitong,feng,,No,,,,,,,FALSE,,FALSE,
Qiujie Zheng,qiujie,zheng,Combating Climate Change: Is the Option to Exploit a Public Good a Barrier for Reaching Critical Threshold? Experimental Evidence,No,,,,,,,FALSE,,FALSE,
Qiyan Ong,qiyan,ong,An Experimental Analysis of the Cognitive Processes Underlying Beliefs and Perception Manipulation,No,,,,,,,FALSE,,FALSE,
Quang Duc Nguyen,quang,nguyen,The Effects of Anger and Happiness on Pro-Social Behaviour,No,,,,,,,FALSE,,FALSE,
Quazi Qhahriar,quazi,qhahriar,,No,,,,,,,FALSE,,FALSE,
Quazi Shahriar,quazi,shahriar,An Experimental Study of The Tokyo Mechanism for School Choice Problem,No,,,,,,,FALSE,,FALSE,
Quoc Tran,quoc,tran,Do I want to study? Experimenting with students’ motivation,No,,,,,,,FALSE,,FALSE,
Quoc Trung TRAN,quoc,tran,Rage Against the Machine: How Subjects Learn to Play Against Computers,No,,,,,,,FALSE,,FALSE,
Rachel Croson,rachel,croson,"""Depth Of Reasoning Models With Rational Agents""",Yes,,,,,,,,,,
Rachel Landsman,rachel,landsman,"""Partial Asset Integration in Allocation of Payments Across Time: Revisiting Convex Time Budget Experiments""",Yes,,,,,,,,,,
Radhika Lunawat,radhika,lunawat,“Other-Regarding Behavior Under Collective Action”,No,,,,,,,FALSE,,FALSE,
Radomir Perzina,radomir,perzina,"""Does A Near-Continuous Time Environment Improve Newsvendor Decisions?""",No,,,,,,,FALSE,,FALSE,
Radosveta Ivanova-Stenzel,radosveta,ivanova-stenzel,"""Does priming close the gender competition gap?""",No,,,,,,,FALSE,,FALSE,
Radovan Vadovic,radovan,vadovic,The role of reporting institutions and image motivation in tax evasion and incidence,No,,,,,,,FALSE,,FALSE,
Rafael Charris,rafael,charris,"""Belief-Based Utility and Signal Interpretation""",No,,,,,,,FALSE,,FALSE,
Rafael Jimenez,rafael,jimenez,"""Social support for markets and 'just prices'""",No,,,,,,,FALSE,,FALSE,
Rafael Teixeira,rafael,teixeira,"""Cooperating when the end is near: the impact of cognitive ability and task complexity""",No,,,,,,,FALSE,,FALSE,
Ragan Petrie,ragan,petrie,,No,,,,,,,FALSE,,FALSE,
Rahul Bhui,rahul,bhui,“Dissolving Partnerships Under Risk: An Experimental Investigation”,No,,,,,,,FALSE,,FALSE,
Rainer Michael Rilke,rainer,rilke,"""Product ratings and externalities""",No,,,,,,,FALSE,,FALSE,
Raisa Sherif,raisa,sherif,"""All at Once! A Comprehensive and Tractable Semi-Parametric Method to Elicit  Prospect Theory Components""",No,,,,,,,FALSE,,FALSE,
Raj ADVANI,raj,advani,Ambiguity Aversion in Asset Market: Experimental Evidence for Home Bias,No,,,,,,,FALSE,,FALSE,
Raj Chetty,raj,chetty,Spending Underestimation: Experimental Evidence from a Large Grocery Chain,Yes,,,,,,,,,,
Rajib Prasad,rajib,prasad,Make a Difference – An Experiment on the Effectiveness of Performance Rating Policies,No,,,,,,,FALSE,,FALSE,
Rajiv Mukherjee,rajiv,mukherjee,Is response time predictive of choice? An experimental study of threshold strategies,No,,,,,,,FALSE,,FALSE,
Rajiv Sarin,rajiv,sarin,"""The Impact of Effective Marginal Tax Rates on Poverty Traps and Inequality""",No,,,,,,,FALSE,,FALSE,
Ralph-C Bayer,ralph-c,bayer,"""An Experimental Study Of Bundling In Multi-Unit Auctions""",No,,,,,,,FALSE,,FALSE,
Ralph-Christopher Bayer,ralph-christopher,bayer,"How to Influence Socially Responsible Investments - The Role of Preferences, Incentives and Information",No,,,,,,,FALSE,,FALSE,
Rami Harb,rami,harb,"""Democratic Punishment In Public Good Games With Perfect And Imperfect Observability""",No,,,,,,,FALSE,,FALSE,
Rami Zwick,rami,zwick,,No,,,,,,,FALSE,,FALSE,
Ramon Cobo Reyes,ramon,reyes,(Mathematical) Complexity and Preferences for Taxation: The Case of Wealth Taxation,No,,,,,,,FALSE,,FALSE,
Ramon Cobo-Reyes,ramon,cobo-reyes,The Good Outcomes of Bad News. A Randomized Field Experiment on Formatting Breast Cancer Screening Invitations,No,,,,,,,FALSE,,FALSE,
Ramon COBO-REYES,ramon,cobo-reyes,“Conspicuous Compassion: What Do We Signal By Generous Donations?”,No,,,,,,,FALSE,,FALSE,
Randall Lewis,randall,lewis,"Collective Action, Equity and Efficiency in Intergenerational Games",No,,,,,,,FALSE,,FALSE,
Ranveig Falch,ranveig,falch,Choosing the pen or the sword? Communication as an endogenous institutional choice in public goods games,No,,,,,,,FALSE,,FALSE,
Raphael Brade,raphael,brade,"""Social capital inequalities in a sparse network: The effect of population size, recommendations and long-distance relations' costs.""",No,,,,,,,FALSE,,FALSE,
Raphael Epperson,raphael,epperson,"""Private Transportation Options and Incidences of Rape: The Case of Uber in U.S. Cities""",No,,,,,,,FALSE,,FALSE,
Ravi Vora,ravi,vora,,No,,,,,,,FALSE,,FALSE,
Rawadee Jarungrattanapong,rawadee,jarungrattanapong,Incumbency Dominance in Letters to the Editor: Field Experimental Evidence,No,,,,,,,FALSE,,FALSE,
RC Xi Zhi Lim,rc,lim,"Losing funds, or losing face? Reputation and accountability in the credit rating industry",Yes,,,,,,,,,,
Rebecca Morton,rebecca,morton,“Asset Markets with Insider Trading Regulations: An Experimental Analysis”,No,,,,,,,FALSE,,FALSE,
Rebecca Royer,rebecca,royer,"""Costly information acquisition in centralized matching markets""",No,,,,,,,FALSE,,FALSE,
Rebecca Thornton,rebecca,thornton,The Hindsight Bias in Decisions between a Principal and Agent,No,,,,,,,FALSE,,FALSE,
Redzo Mujcic,redzo,mujcic,"The social preferences of democratically elected decision-makers: fairer, but sometimes at the cost of efficiency.",No,,,,,,,FALSE,,FALSE,
Regine Oexl,regine,oexl,The effects of ritualized behavior on economic decision making under stress,No,,,,,,,FALSE,,FALSE,
Régis Deloche,régis,deloche,Behavioral and neurobiological effects of expert advice on risky decision making,No,,,,,,,FALSE,,FALSE,
Régis DELOCHE,régis,deloche,The action-evaluation model of norms,No,,,,,,,FALSE,,FALSE,
Rémi Suchon,rémi,suchon,Behavioral Effects of Student Loan Repayment Plan Offerings on Borrowers' Career Decisions,No,,,,,,,FALSE,,FALSE,
Remy Levin,remy,levin,Exposure to economic inequality at the age of 8 enhances prosocial behaviour in adult life,Yes,,,,,,,,,,
Renata Kosíková,renata,kosíková,Preferences for the allocation of production rewards between capital and labor,No,,,,,,,FALSE,,FALSE,
Rene Levinsky,rene,levinsky,"""Truth-Telling In Matching Mechanism And The Manipulation Of Others""",No,,,,,,,FALSE,,FALSE,
Rene Schwaiger,rene,schwaiger,"""Equality of opportunity in a random dictator game: an artefactual field experiment""",No,,,,,,,FALSE,,FALSE,
Renke Schmacker,renke,schmacker,"""The Bright Side of Dark Markets: Experiments""",No,,,,,,,FALSE,,FALSE,
Ricardo de la O,ricardo,o,"“Cognitive Skills, Strategic Sophistication and Life Outcomes”",No,,,,,,,FALSE,,FALSE,
Ricardo Perez Truglia,ricardo,truglia,"""Tax Compliance of Firms using a Natural Field Experiment""",No,,,,,,,FALSE,,FALSE,
Ricardo Perez-Truglia,ricardo,perez-truglia,Panel,Yes,,,,,,,,,,
Ricardo Serrano-Padial,ricardo,serrano-padial,Social framing effects in leadership: preferences or beliefs?,No,,,,,,,FALSE,,FALSE,
Riccardo Camboni,riccardo,camboni,"“Anti‐social punishment and the Optional Public Goods Game: A lab experiment in the field,”",No,,,,,,,FALSE,,FALSE,
Riccardo Ghidoni,riccardo,ghidoni,The effect of social norms on COVID-19 vaccination readiness,No,,,,,,,FALSE,,FALSE,
Riccardo Pedersini,riccardo,pedersini,TBA,No,,,,,,,FALSE,,FALSE,
Rick Wilson,rick,wilson,Biases in Beliefs: Experimental Evidence,Yes,,,,,,,,,,
Rimvydas Baltadounis,rimvydas,baltadounis,Pure Numbers Effects and Market Power: New Results from Near Continuous Posted-Offer Markets,No,,,,,,,FALSE,,FALSE,
Rimvydas Baltaduonis,rimvydas,baltaduonis,"""The Anchoring Effect in Bargaining""",No,,,,,,,FALSE,,FALSE,
Ritwik Banerjee,ritwik,banerjee,Observing Parents' Punishment Promotes Norm Obedience among Children,No,,,,,,,FALSE,,FALSE,
Rivin Perinchery,rivin,perinchery,,No,,,,,,,FALSE,,FALSE,
Rizal Adi Prima,rizal,prima,Incentive Substitutability and Heterogenous Motives in an Innovation Contest - Field Experimental Evidence,No,,,,,,,FALSE,,FALSE,
Ro'i Zultan,ro'i,zultan,"""Social Comparison and Risk-Taking""",No,,,,,,,FALSE,,FALSE,
Ro'i ZULTAN,ro'i,zultan,“Dealer Competition and Financial Market Performance: An Experimental Analysis of Monopoly and Duopoly Structures”,No,,,,,,,FALSE,,FALSE,
Robert Beekman,robert,beekman,Product Market Reputation and Capital Acquisition: An Experimental Study,No,,,,x,,,FALSE,,TRUE,No exp 
Robert Slonim,robert,slonim,Bank Run Psychology,Yes,,,,,,,,,,
Roberto Amaral Santos,roberto,santos,"Aspirations, Poverty and Education: Can a role model intervention mitigate the consequences of deprivation? Lessons from Ecuador",No,,,,x,,,FALSE,,TRUE,no exp
Roberto Di Paolo,roberto,paolo,"""How might inequalities between nations impact the international effort to avert climate change?""",Yes,,,,,,,,,,
Roberto Weber,roberto,weber,"""Gender Identity and Economic Decision Making""",Yes,,,,,,,,,,
Robin Musolff,robin,musolff,Effect of (cheap talk) communication in heterogeneous group contests with incomplete information: An experimental analysis,No,,,,,,,FALSE,,TRUE,Maybe we can add his ongoing project to chapter 23: https://www.lmusolff.com/?
Robin Ng,robin,ng,,No,,,,x,,,FALSE,,TRUE,no exp
Roger WALDECK,roger,waldeck,“Out Of Your Mind - Estimating The Level-k Model”,No,,,,x,,,FALSE,,TRUE,No exp
Roman-Gabriel Olar,roman-gabriel,olar,"""Social preferences and the transmission of narratives""",No,,,,x,,,FALSE,,TRUE,
Rongrong Fu,rongrong,fu,Are groups really more dishonest than individuals?,No,,,,x,,,FALSE,,TRUE,no exp
Rui Silva,rui,silva,"""Bargaining under the threat of a nuclear option""",No,,,,x,,,FALSE,,TRUE,no exp
Rui Wang,rui,wang,"Six Contradicting Deviations from Rational Choice, and the Impact of Experience",No,,,,x,,,FALSE,,TRUE,no exp
Ruixin Jia,ruixin,jia,,No,,,,x,,,FALSE,,TRUE,no exp
Ruokang Han,ruokang,han,Eliciting Preferences with Rank-ordered? Choices,No,,,,x,,,FALSE,,TRUE,
Sabine Kröger,sabine,kröger,Contracting for Information Goods: A Field Experiment at Google Answers,Yes,,,,,,,,,,
Sabrina Jeworrek,sabrina,jeworrek,"""Enhancing tax compliance by increasing information salience: Natural field experiment""",Yes,,,,,,,,,,
Sabrina Plass,sabrina,plass,Socially Embedded Risk Taking,No,,,,x,,,FALSE,,TRUE,
Sally Sadoff,sally,sadoff,,Yes,,,,,,,,,,
Salomon Israel,salomon,israel,Indivudual investment in stock market bubbles - A field experiment,No,,,,x,,,FALSE,,TRUE,no econ
Samuel Priestley,samuel,priestley,,No,,,,x,,,FALSE,,TRUE,
Sander Onderstal,sander,onderstal,Governing climate geoengineering: Side-payments are not enough,Yes,,,,,,,,,,
Sandra Goff,sandra,goff,"""Proud to belong: The impact of ethics training on police officers in Ghana""",Yes,,,,,,,,,,
Sara Adler,sara,adler,Interpersonal Influence,No,,,,x,,,FALSE,,TRUE,
Sara Mustafazade,sara,mustafazade,"""Rational cooperation and reputation effects""",No,,,,x,,,FALSE,,TRUE,
Sarah Elbakry,sarah,elbakry,,No,,,,x,,,FALSE,,TRUE,
Sarah Sylvester,sarah,sylvester,,No,,,,x,,,FALSE,,TRUE,
Sarojini Hirshleifer,sarojini,hirshleifer,"“Lead, Follow, or Get Out of the way: An Experimental Study on Competition and Risk Preferences”",Yes,,,,,,,,,,
Sarunyu Jitsophon,sarunyu,jitsophon,Social norms about bribe-giving and bribe-taking in India,No,,,,x,,,FALSE,,TRUE,
Satarupa Mitra,satarupa,mitra,,No,,,,x,,,FALSE,,TRUE,
Scott Martin,scott,martin,Total Factor Productivity Growth in the Indian Banking Sector– Innovation vs. Catch-up Effects,Yes,,,,,,,,,,
Sebastian Cortes-Corrales,sebastian,cortes-corrales,“The Endogenous Formation of Common Pool Resource Coalitions”,No,,,,x,,,FALSE,,TRUE,
Sebastian Kube,sebastian,kube,The relevance of structure and polarization in three -player legislative bargaining theory and experiments,Yes,,,,,,,,,,
Sebastian KUBE,sebastian,kube,Decision Making without Probabilities,Yes,,,,,,,,,,
Sebastian O. Schneider,sebastian,schneider,Playing with beliefs: why strategy is not independent of beliefs about the state of the world,Yes,,,,,,,,,,
Sebastian Schneider,sebastian,schneider,"""Optimizing Donation Campaign Goal Setting: A Study of Multi Threshold Public Goods Games""",Yes,,,,,,,,,,
Seda Ertac,seda,ertac,Social decisions under risk. Evidence from the probabilistic dictator game,Yes,,,,,,,,,,
Sefa Erkus,sefa,erkus,"""Cross Country Studies""",No,,,,x,,,FALSE,,TRUE,no exp
Seiyoun Kim,seiyoun,kim,"""Self-Image in Search""",Yes,,,,,,,,,,
Selin Arslanoglu,selin,arslanoglu,Causal identification with many experimental treatments,No,,,,x,,,FALSE,,TRUE,
Sendhil Mullainathan,sendhil,mullainathan,Departure Time in Y-shaped Networks with Multiple Bottlenecks: Experimental Study of Negative Externalities,Yes,,,,,,,,,,
Senran Lin,senran,lin,"""Incentive matters in risk preference elicitation: Evidence from a lab-in-the-field experimen""",No,,,,x,,,FALSE,,TRUE,no exp
Sergio Alessandro Castagnetti,sergio,castagnetti,Alliance and Conflict: A Network Formation Experiment,No,,,,x,,,FALSE,,TRUE,
Seung Ginny Choi,seung,choi,Hotelling in Continuous Time and Action Spaces,Yes,,,,,,,,,,
Shahin Baghirov,shahin,baghirov,Last Word Not Yet Spoken: Last Place and Rank Reversal Aversion,No,,,,x,,,FALSE,,TRUE,
Shanshan Huang,shanshan,huang,Shifting Level 0 in Modified Beauty Contest Games,No,,,,x,,,FALSE,,TRUE,no exp
Shaoshuang Yang,shaoshuang,yang,"""Health Recommendations and Selection in Health Behaviors""",No,,,,x,,,FALSE,,TRUE,no exp
Sherry Forbes,sherry,forbes,Legitimacy and Enforcement: An Experimental Investigation,No,,,,x,,,FALSE,,TRUE,
Sherry Li,sherry,li,,Yes,,,,,,,,,,
Sherry Xin Li,sherry,li,The better is the enemy of the good,Yes,,,,,,,,,,
Shiang-Hung Hu,shiang-hung,hu,,No,,,,x,,,FALSE,,TRUE,
Shinsuke Tanaka,shinsuke,tanaka,"Identifying Gender Bias in Parental 'Attitude"" An Experimental Approach",No,,,,x,,,FALSE,,TRUE,no exp
Shirley Wang,shirley,wang,"""Tackling Misperceptions about Immigrants with Fact‐checking Interventions: A Randomized Survey Experiment""",Yes,,,,,,,,,,
Shirley Xianghong Wang,shirley,wang,Contingent weighting of Time in intertemporal decisions under uncertainty,Yes,,,,,,,,,,
Shou Yang,shou,yang,I (Don't) Want to Know: An Experimental Investigation of Preferences Over the Resolution of Uncertainty,No,,,,x,,,FALSE,,TRUE,no exp
Shuang Wang,shuang,wang,How to Maximize the Value of Co-branding Alliances- the Perspective of Consumer Evaluations,Yes,,,,,,,,,,
Shun Fujimaki,shun,fujimaki,Do contests bring out the worst in us or the worst among us?,No,,,,x,,,FALSE,,TRUE,no exp
Shuo Yang,shuo,yang,“A Choice Experiment on Taxes: Are Income and Consumption Taxes Equivalent?”,No,,,,x,,,FALSE,,TRUE,Could be same person as line 2362 or not but could not find any papers either way
Shuwen Li,shuwen,li,"""Encouraging Engagement in Classroom Learning: A Field Experiment""",Yes,,,,,,,,,,
Sidharth Keesara,sidharth,keesara,The Subject Pool Bias in Economic Experiments,No,,,,x,,,FALSE,,TRUE,No exp
Sigrid Suetens,sigrid,suetens,"""Heterogeneity of Gain-Loss Attitudes and Expectations-Based Reference Points""",Yes,,,,,,,,,,
Simeon Schudy,simeon,schudy,"""Social Preferences and Rating Biases in Subjective Performance Evaluations""",Yes,,,,,,,,,,
Sipu Li,sipu,li,“The Impact of Exposure to Armed Conflict on Risk and Ambiguity Attitudes”,Yes,,,,,,,,,,
Siqian Zhu,siqian,zhu,"""Just Run A Sweepstake Designing Legal Incentive For Prediction Markets To Counter Manipulation""",No,,,,x,,,FALSE,,TRUE,
Siri Isaksson,siri,isaksson,"""Ruled by robots: Preference for algorithmic decision makers and perceptions of their choices""",Yes,,,,,,,,,,
Sirui Liu,sirui,liu,,No,,,,x,,,FALSE,,TRUE,
Sixuan Chen,sixuan,chen,"""Risk taking with unethical money: An experimental study""",No,,,,x,,,FALSE,,TRUE,
Siyu Wang,siyu,wang,This time is different: On similarity and risk taking after experienced gains and losses,Yes,,,,,,,,,,
Snigdha Das,snigdha,das,,No,,,,x,,,FALSE,,TRUE,
Somesh Kumar MATHUR,somesh,mathur,Voting on Giving,No,,,,x,,,FALSE,,TRUE,
Sonal Barve,sonal,barve,Procedural Fairness and Externalities under Uncertainty,No,,,,x,,,FALSE,,TRUE,
Song Wang,song,wang,,Yes,,,,,,,,,,
Sonia Bhalotra,sonia,bhalotra,Panel,Yes,,,,,,,,,,
Sophie Zeng,sophie,zeng,"Next Generation Social Science Games on Web, Tablets, and Smartphones",No,,,,x,,,FALSE,,TRUE,
Stanton Hudja,stanton,hudja,"""A Theoretical and Experimental Investigation into the Welfare Consequences of Late Payments""",Yes,,,,,,,,,,
Stefan Altmann,stefan,altmann,Understanding Measurement Error in Agriculture: A field experiment,Yes,,,,,,,,,,
Stefan Seifert,stefan,seifert,“Preemptive Bidding in Takeover Auctions: An Experimental Study”,No,,,,x,,,FALSE,,TRUE,no exp
Stefania Bortolotti,stefania,bortolotti,"""Anti-social norms""",No,,,,,,,FALSE,,TRUE,For Veronica Rattini the paper I put is co-authored with Stefania Bortolotti so no need for other paper (did this in light of the fact JL wanted to try and shorten the list of papers we add)
Stefanie GAPP,stefanie,gapp,“Moral Framing and Contributions to Public Goods”,No,,,,x,,,FALSE,,TRUE,no exp
Stefanie J. Huber,stefanie,huber,"""Asymmetric Reciprocity""",No,,,,,,,FALSE,,FALSE,
Stefanie Jaussi,stefanie,jaussi,"""Irrational Statistical Discrimination""",No,,,,,,,FALSE,,FALSE,
Stefanija Veljanoska,stefanija,veljanoska,Lying in repeated game,No,,,,,,,FALSE,,FALSE,
Stefano Balietti,stefano,balietti,Opportunity cost neglect in negotiations,No,,,,,,,FALSE,,FALSE,
Stefano Papa,stefano,papa,“Misattribution and Uncertainty about Beliefs Prevent Learning”,No,,,,,,,FALSE,,FALSE,
