,Full Name,First Name,Last Name,Title of Presentation,Appeared,Paper Title,Link To Paper,Experiment Type,No Publications,Corresponding Chapter,Corresponding Chapter.1,Added to Zotero,Worker(s),Checked by RP,Action Needed
1365,Olga Churkina,olga,churkina,"""Cooperation in infinitely repeated games under the shadow of inequality""",No,,,,,,,False,,False,
1366,Olga Rud,olga,rud,"""Overcoming Peer Pressure to Drink""",No,,,,,,,False,,False,
1367,Olga Shurchkov,olga,shurchkov,"""School Choice with Consent: An Experiment""",No,,,,,,,False,,False,
1368,Olga Stoddard,olga,stoddard,"""Gender Differences in Labor Supply: Experimental Evidence from the Gig Economy""",No,,,,,,,False,,False,
1369,Oliver Gloede,oliver,gloede,Does the Option to Hire ane Auditor Make a Manager Honest? An Experimential Study.,No,,,,,,,False,,False,
1370,Oliver Hauser,oliver,hauser,"""Lucky to Work""",No,,,,,,,False,,False,
1371,Oliver Himmler,oliver,himmler,Dependency Status and Preferences for Social Insurance,No,,,,,,,False,,False,
1372,Olivia Rusch,olivia,rusch,The Power of Peers - How social relationships and audiences shape payment decisions in Pay-What-You-Want settings,No,,,,,,,False,,False,
1373,Olivier Armantier,olivier,armantier,Sunk Contributions and Beliefs in a Dynamic Threshold Public Good Game,No,,,,,,,False,,False,
1374,Olivier BOCHET,olivier,bochet,"“Contests for Status""",No,,,,,,,False,,False,
1375,Olivier Damette,olivier,damette,"""Hydrogen Fuel-Cell Vehicles Adoption: A Choice Experiment""",No,,,,,,,False,,False,
1376,Olli Lappalainen,olli,lappalainen,"""Should you Pay your Workers to Quit Their Job?""",No,,,,,,,False,,False,
1377,Omar Al-Ubaydli,omar,al-ubaydli,Exponential-Growth Bias and Lifecycle Consumption,Yes,,,,,,,,,,
1378,Ondrej Krcal,ondrej,krcal,"""Increasing the external validity of social preference games by reducing measurement error""",No,,,,,,,False,,False,
1379,Orestis Kopsacheilis,orestis,kopsacheilis,The effect of social distancing on trust and solidarity,No,,,,,,,False,,False,
1380,Orestis Vravosinos,orestis,vravosinos,,No,,,,,,,False,,False,
1381,Ori Heffetz,ori,heffetz,“Prediction Market as an Alternative Mechanism for Selection of Corporate R&D Projects: An,No,,,,,,,False,,False,
1382,Ori Plonsky,ori,plonsky,Present-biased time preference for monetary rewards - a meta-analysis,No,,,,,,,False,,False,
1383,Orley Ashenfelter,orley,ashenfelter,Peer Monitoring and Moral Hazard in a Laboratory Microfinance Experiment,Yes,,,,,,,,,,
1384,Orly Sade,orly,sade,,No,,,,,,,False,,False,
1385,Orsola Garofalo,orsola,garofalo,"Good News, Bad News, and Social Image: The Market for Charitable Giving",No,,,,,,,False,,False,
1386,Oscar Zapata,oscar,zapata,"""Costly Reporting And Deterrence Of Defection: On Experiment On Unincentivized Reputation Transmission""",No,,,,,,,False,,False,
1387,OSub Kwon,osub,kwon,,No,,,,,,,False,,False,
1388,Ouafaa Hmaddi,ouafaa,hmaddi,"""Post-electoral promises, performance and trust in government. Evidence from a survey experiment""",No,,,,,,,False,,False,
1389,Owen Phillips,owen,phillips,Discrimination in the Provision of Social Services to the Poor: A Field Experimental Study,No,,,,,,,False,,False,
1390,Owen Powell,owen,powell,Unconscious Dishonesty Detection,No,,,,,,,False,,False,
1391,Ozan Isler,ozan,isler,"""A Rubinstein Bargaining Experiment in Continuous Time""",Yes,,,,,,,,,,
1392,Ozgur Gurerk,ozgur,gurerk,Wealth effects and Labor Supply: An experimental study,No,,,,,,,False,,False,
1393,Ozlem Ozdemir,ozlem,ozdemir,“Improving the Accuracy of Entrepreneurial Prediction Markets-An Experiment”,No,,,,,,,False,,False,
1394,Ozlem Tonguc,ozlem,tonguc,Can ostracism turns free-riders to be more cooperative? Evidence from an experiment in Thailand,No,,,,,,,False,,False,
1395,Paan Jindapon,paan,jindapon,"""Drivers of Overprecision: Overweighting and Neglecting Correlation of Multiple Signals""",No,,,,,,,False,,False,
1396,Pablo Brañas Garza,pablo,garza,Neural Correlates of Cheap Talk Bargaining,No,,,,,,,False,,False,
1397,Pablo Branas-Garza,pablo,branas-garza,It's Not just the thought that counts --- An experimental study on hidden cost of giving,No,,,,,,,False,,False,
1398,Pablo Branas/Diego Jorrat/Benjamin Prisse,pablo,prisse,Improving Compliance with Regulations: Insights from Experiments,No,,,,,,,False,,False,
1399,Pablo Guillen,pablo,guillen,"""An Investigation of Feedback: When it's enough and When it's too much""",No,,,,,,,False,,False,
1400,Pablo Marcos-Prieto,pablo,marcos-prieto,Gendered Instructions and Economic Behavior,No,,,,,,,False,,False,
1401,Pallavi Shukla,pallavi,shukla,Effort Provision and Optimal Prize Structure in Contests with Loss-Averse Players,No,,,,,,,False,,False,
1402,Paloma UBEDA,paloma,ubeda,Public goods and group voted sanctions: An experiment,No,,,,,,,False,,False,
1403,Pan Deng,pan,deng,Equilibrium discovery and preopening mechanisms in an experimental market,No,,,,,,,False,,False,
1404,Paola Tiranzoni,paola,tiranzoni,“Does Media Coverage of Hate- motivated Mass Shootings Generate More Hatred?”,No,,,,,,,False,,False,
1405,Paola Villa-Paro,paola,villa-paro,Absolute groupishness and the demand for information,No,,,,,,,False,,False,
1406,Paolo Crosetto,paolo,crosetto,Moral hazard and excess returns in markets,No,,,,,,,False,,False,
1407,Parampreet Christopher Bindra,parampreet,bindra,"""Coordination and Priming in a Threshold Volunteer's Dilemma Game""",No,,,,,,,False,,False,
1408,Pascal Kieren,pascal,kieren,"""Psychological and Social Determinants of Cooperation and Punishment in Social Dilemmas: Theory and Evidence""",No,,,,,,,False,,False,
1409,Patricia Schneider,patricia,schneider,Sniping and Squatting in Online Auctions,No,,,,,,,False,,False,
1410,Patricio Dalton,patricio,dalton,Consumer behavior under price discrimination,No,,,,,,,False,,False,
1411,Patrick Joyce,patrick,joyce,“Equilibrium Selection in Two-Sided Markets”,No,,,,,,,False,,False,
1412,Patrick NOLEN,patrick,nolen,“Voluntary Contributions to Property Rights”,No,,,,,,,False,,False,
1413,Patrizia Sbriglia,patrizia,sbriglia,Ignoring Good Advice,No,,,,,,,False,,False,
1414,Pau Balart,pau,balart,"""Choosing the best pond to motivate performance- relative feedback and performance in groups""",No,,,,,,,False,,False,
1415,Pau Juan Bartroli,pau,bartroli,"""Fuzzy Multicriteria Decision Assistant""",No,,,,,,,False,,False,
1416,Paul Bokern,paul,bokern,Choosing Whom to Heed: An Experimental Study in Economic Advice,No,,,,,,,False,,False,
1417,Paul Cheung,paul,cheung,"""Unraveling Soft-Commitment- Evidence from a Natural Field Experiment on Recycling""",No,,,,,,,False,,False,
1418,Paul Clist,paul,clist,"""Incentivizing long-term giving: Evidence from a natural field experiment""",No,,,,,,,False,,False,
1419,Paul Feldman,paul,feldman,"""The Dynamics of Misspecification Fear""",No,,,,,,,False,,False,
1420,Paul Ferraro,paul,ferraro,An experimental analysis of net and gross rebates,No,,,,,,,False,,False,
1421,Paul Healy,paul,healy,,No,,,,,,,False,,False,
1422,Paul Johnson,paul,johnson,Estimation of Treatment Effects in Repeated Public Good Experiments,No,,,,,,,False,,False,
1423,Paul M Gorny,paul,gorny,"""The Effects of Gendered Language on Norm Compliance""",No,,,,,,,False,,False,
1424,Paul Organ,paul,organ,Panel,No,,,,,,,False,,False,
1425,Paul Pezanis-Christou,paul,pezanis-christou,,No,,,,,,,False,,False,
1426,Paula Cordero,paula,cordero,Emergence of Risk Sharing in a Stochastic Environment,No,,,,,,,False,,False,
1427,Pauline Vorjohann,pauline,vorjohann,Managers Under Uncertainty: Evidence from a Lab-in-the-Field Experiment,No,,,,,,,False,,False,
1428,Paulo Peneda Saraiva,paulo,saraiva,Blind Stealing: Experience and Expertise in a Mixed-Strategy Poker Experiment,No,,,,,,,False,,False,
1429,Pavitra Govindan,pavitra,govindan,,No,,,,,,,False,,False,
1430,Pedro Rey Biel,pedro,biel,Foreign Language use in Competition vs. Cooperation,No,,,,,,,False,,False,
1431,Pedro Rey-Biel,pedro,rey-biel,Endowment Effect and the Success of Selling: An Experimental Study in China,No,,,,,,,False,,False,
1432,Peilu Zhang,peilu,zhang,Improving Dynamic Optimization in Life-Cycle Consumption Experiments,No,,,,,,,False,,False,
1433,Peiran Jiao,peiran,jiao,Measuring strategic-uncertainty attitudes,Yes,,,,,,,,,,
1434,Peiyao Shen,peiyao,shen,"""Make it count: Increasing calorie information uptake""",No,,,,,,,False,,False,
1435,Pellumb Reshidi,pellumb,reshidi,"""Belief in fake news. Effect of echo chambers and digital citizenship identifying fake news. Evidence from Chile""",No,,,,,,,False,,False,
1436,Peter BARDSLEY,peter,bardsley,"Implications of Trust, Fear, and Reciprocity for Modeling Economic Behavior",No,,,,,,,False,,False,
1437,Peter Bossaert,peter,bossaert,Controlling out the Unobserved Human Factor?,No,,,,,,,False,,False,
1438,Peter Bossaerts,peter,bossaerts,An experimental study on dishonesty: The effect of ambiguity and framing,No,,,,,,,False,,False,
1439,Peter Duersch,peter,duersch,Response to institutional changes in dictator games and cognitive skills: Evidence from children,No,,,,,,,False,,False,
1440,Peter DUERSCH,peter,duersch,", “Are prior beliefs affected by task complexity?”",No,,,,,,,False,,False,
1441,Peter Dursch,peter,dursch,The Emergence of Economic Institutions:A Neuronal Perspective,No,,,,,,,False,,False,
1442,Peter Katuscak,peter,katuscak,"""Voicing disagreement in science: Missing women""",No,,,,,,,False,,False,
1443,Peter Kriss,peter,kriss,Bad Luck or Failure? The Impact of Not Being Rewarded on Work Performance,No,,,,,,,False,,False,
1444,Peter Lewisch,peter,lewisch,I and we: spillovers between individual and social tasks,No,,,,,,,False,,False,
1445,Peter Martinsson,peter,martinsson,Bidding to Give in the Field: Door-to-Door Fundraisers Had it RIght from the Start,No,,,,,,,False,,False,
1446,Peter MARTINSSON,peter,martinsson,Ethics and strategic intermediation,No,,,,,,,False,,False,
1447,Peter Matthews,peter,matthews,"""Task Completion Without Commitment""",No,,,,,,,False,,False,
1448,Peter McGee,peter,mcgee,,No,,,,,,,False,,False,
1449,Peter Moffatt,peter,moffatt,"Two Field Experiments on Self-Selection, Collaboration Intensity, and Team Performance",No,,,,,,,False,,False,
1450,Peter Twieg,peter,twieg,Periodic Frequencies of the Cycles in 2 x 2 Games,No,,,,,,,False,,False,
1451,Peter Werner,peter,werner,Context-dependent perceptions and decision making,Yes,,,,,,,,,,
1452,Petra Nieken,petra,nieken,The effects of a larger contract zone under arbitration,Yes,,,,,,,,,,
1453,Phil Limberg,phil,limberg,"""Passive or Active? Behavioral changes in different designs of search experiments""",No,,,,,,,False,,False,
1454,Philip Brookins,philip,brookins,“Balancing paid market work and unpaid care work: An experiment”,No,,,,,,,False,,False,
1455,Philip Grossman,philip,grossman,"""Empirical Evaluation of Cost of Annoying Ads""",Yes,,,,,,,,,,
1456,Philip J. Grossman,philip,grossman,Small Stakes Risk Aversion and the Endowment Effect,Yes,,,,,,,,,,
1457,Philip Mellizo,philip,mellizo,“The role of Information in a Continuous Double Auction - Individual Evolutionary Learning and,No,,,,,,,False,,False,
1458,Philip Melnikov,philip,melnikov,"""Least Squares Learning? Evidence from the Laboratory""",No,,,,,,,False,,False,
1459,Philip Neary,philip,neary,A revealed preference test of behavioral theories in asset markets,No,,,,,,,False,,False,
1460,Philip Solimine,philip,solimine,“Bias in Estimating Behavioral Game Theory Models”,No,,,,,,,False,,False,
1461,Philipp Astor,philipp,astor,Financing and Signaling Under Asymmetric Information,No,,,,,,,False,,False,
1462,Philipp Händel,philipp,händel,"""Trust and Welfare Effects of Exogenous Sorting in Information Cascades""",No,,,,,,,False,,False,
1463,Philipp Krügel,philipp,krügel,"""Cooperation, Emotions, and Punishment in Public Good Experiments: A Biometric Investigation""",No,,,,,,,False,,False,
1464,Philipp Lergetporer,philipp,lergetporer,Money Illusion and Intentions in an Experimental Labour Market,No,,,,,,,False,,False,
1465,Philipp Marquardt,philipp,marquardt,Organizational Design and Coordination Failure in the Network Minimum Game,No,,,,,,,False,,False,
1466,Philippe Gillen,philippe,gillen,Who benefits from physician competition? A laboratory experiment on the relevance of patients' mobility and state of health,No,,,,,,,False,,False,
1467,Philippos Louis,philippos,louis,"Stakes, externalities and lying",No,,,,,,,False,,False,
1468,Phoebe Cai,phoebe,cai,"""Trust, Honesty, and Strategic Interactions""",No,,,,,,,False,,False,
1469,Phuc Phung,phuc,phung,Braggart or humble? The effect of self-reports on performance,No,,,,,,,False,,False,
1470,Phumsith Mahasuweerachai,phumsith,mahasuweerachai,,No,,,,,,,False,,False,
1471,Pierluigi Conzo,pierluigi,conzo,Would I Lie to You? An experiment on project selection with biased advice,No,,,,,,,False,,False,
1472,Pierluigi Sabbatini,pierluigi,sabbatini,Segregated Meritocracies - the Effects of Likemindedness,No,,,,,,,False,,False,
1473,Pierre-Jean Cottalorda,pierre-jean,cottalorda,A Mathematical Approach to Preference Formation in 2x2 Games,No,,,,,,,False,,False,
1474,Pierre-Jean COTTALORDA,pierre-jean,cottalorda,“Why Deferred Acceptance?: An Experimental Look at Strategy in Two-Sided Matching Markets”,No,,,,,,,False,,False,
1475,Pietro Guarnieri,pietro,guarnieri,"""Do Scientists Tell the Truth? Global Experimental Evidence""",No,,,,,,,False,,False,
1476,Pietro Ortoleva,pietro,ortoleva,"Incentives, Information and Psychological Competition in a Real Effort Task",No,,,,,,,False,,False,
1477,Pinghan Liang,pinghan,liang,An Experimental Comparison of Independence Axioms Under Risk and Under Ambiguity,No,,,,,,,False,,False,
1478,Piotr Evdokimov,piotr,evdokimov,"""Absolute versus Relative: Asymmetric Framing and Feedback Design in a Heterogeneous-Endowment Public Goods Game""",No,,,,,,,False,,False,
1479,Piruz Saboury,piruz,saboury,“Symmetric and Asymmetric Network Provision and Appropriation Games”,No,,,,,,,False,,False,
1480,Po-Hsuan Lin,po-hsuan,lin,,No,,,,,,,False,,False,
1481,Pol Campos-Mercade,pol,campos-mercade,“Timing of Informativeness”,Yes,,,,,,,,,,
1482,Pol Campos-Mercade-,pol,campos-mercade-,"""Does lying for others dominate lying aversion?""",No,,,,,,,False,,False,
1483,Pooja Balasubramanian,pooja,balasubramanian,The Impact of Organisational Form on Contract Design and Buyer-Seller Interaction,No,,,,,,,False,,False,
1484,Prachi Hejib,prachi,hejib,"""What Happens to Investment Choices when Interest Rates Change? An Experimental Study""",No,,,,,,,False,,False,
1485,Prachi Jain,prachi,jain,,No,,,,,,,False,,False,
1486,Praveen Kujal,praveen,kujal,The Desirability of Cheating in Optimal Income Taxation,No,,,,,,,False,,False,
1487,Praveen KUJAL,praveen,kujal,Reference-dependent preferences and labor supply,No,,,,,,,False,,False,
1488,Prithvijit Mukerjee,prithvijit,mukerjee,"""Revealing the Economic Consequences of Group Cohesion""",No,,,,,,,False,,False,
1489,Prithvijit Mukherjee,prithvijit,mukherjee,Shifting the reward for kind delegation,No,,,,,,,False,,False,
1490,Priyadarshi Banerjee,priyadarshi,banerjee,The Development of Strategic Cognition,No,,,,,,,False,,False,
1491,Priyama Majumdar,priyama,majumdar,“Inference from Biased Polls”,No,,,,,,,False,,False,
1492,Priyanka Chakraborty,priyanka,chakraborty,"“Does endogenous R&D sharing lead to an inverted U between R&D investment and competition? An experimental approach,” ",No,,,,,,,False,,False,
1493,Priyoma Mustaf,priyoma,mustaf,Moral repugnance and the role of agency,No,,,,,,,False,,False,
1494,Priyoma Mustafi,priyoma,mustafi,“A Tale of Two Goods: The Role of Environmentally Friendly Products in Consumer Choice and Public Policy”,No,,,,,,,False,,False,
1495,Puja Bhattacharya,puja,bhattacharya,Human AI Interaction in the Exploration and Exploitation Dilemma,No,,,,,,,False,,False,
1496,Pushkar Maitra,pushkar,maitra,,No,,,,,,,False,,False,
1497,Qian Neng,qian,neng,"Dynamic Consistency, Sample Selection and Attrition: A Panel Experiment on Individual Discount Rates",No,,,,,,,False,,False,
1498,Qian Weng,qian,weng,Affirmative Action Policies and Behaviour in Promotional Tournaments: An Experiment,No,,,,,,,False,,False,
1499,Qilin Zhang,qilin,zhang,"""Bubbles, experience and success""",No,,,,,,,False,,False,
1500,Qing Zhang,qing,zhang,"""Choosing the best pond to motivate performance: relative feedback and performance in groups""",No,,,,,,,False,,False,
1501,Qinnan Ruan,qinnan,ruan,"""Impact of lying aversion and prosociality on cheating""",No,,,,,,,False,,False,
1502,Qinyou Hu,qinyou,hu,"""Can Interventions Targeting Community Attitudes Improve Education for Marginalized Students? Evidence from a Mixed-Methods Experimental Design in Zimbabwe""",No,,,,,,,False,,False,
1503,Qiqi Cheng,qiqi,cheng,Voluntary and Mandatory provision of Common Pool Resources with Heterogeneous appropriators,No,,,,,,,False,,False,
1504,Qiqi Wang,qiqi,wang,Delegation in the provision of global public goods,No,,,,,,,False,,False,
1505,Qitong Feng,qitong,feng,,No,,,,,,,False,,False,
1506,Qiujie Zheng,qiujie,zheng,Combating Climate Change: Is the Option to Exploit a Public Good a Barrier for Reaching Critical Threshold? Experimental Evidence,No,,,,,,,False,,False,
1507,Qiyan Ong,qiyan,ong,An Experimental Analysis of the Cognitive Processes Underlying Beliefs and Perception Manipulation,No,,,,,,,False,,False,
1508,Quang Duc Nguyen,quang,nguyen,The Effects of Anger and Happiness on Pro-Social Behaviour,No,,,,,,,False,,False,
1509,Quazi Qhahriar,quazi,qhahriar,,No,,,,,,,False,,False,
1510,Quazi Shahriar,quazi,shahriar,An Experimental Study of The Tokyo Mechanism for School Choice Problem,No,,,,,,,False,,False,
1511,Quoc Tran,quoc,tran,Do I want to study? Experimenting with students’ motivation,No,,,,,,,False,,False,
1512,Quoc Trung TRAN,quoc,tran,Rage Against the Machine: How Subjects Learn to Play Against Computers,No,,,,,,,False,,False,
1513,Rachel Croson,rachel,croson,"""Depth Of Reasoning Models With Rational Agents""",Yes,,,,,,,,,,
1514,Rachel Landsman,rachel,landsman,"""Partial Asset Integration in Allocation of Payments Across Time: Revisiting Convex Time Budget Experiments""",Yes,,,,,,,,,,
1515,Radhika Lunawat,radhika,lunawat,“Other-Regarding Behavior Under Collective Action”,No,,,,,,,False,,False,
1516,Radomir Perzina,radomir,perzina,"""Does A Near-Continuous Time Environment Improve Newsvendor Decisions?""",No,,,,,,,False,,False,
1517,Radosveta Ivanova-Stenzel,radosveta,ivanova-stenzel,"""Does priming close the gender competition gap?""",No,,,,,,,False,,False,
1518,Radovan Vadovic,radovan,vadovic,The role of reporting institutions and image motivation in tax evasion and incidence,No,,,,,,,False,,False,
1519,Rafael Charris,rafael,charris,"""Belief-Based Utility and Signal Interpretation""",No,,,,,,,False,,False,
1520,Rafael Jimenez,rafael,jimenez,"""Social support for markets and 'just prices'""",No,,,,,,,False,,False,
1521,Rafael Teixeira,rafael,teixeira,"""Cooperating when the end is near: the impact of cognitive ability and task complexity""",No,,,,,,,False,,False,
1522,Ragan Petrie,ragan,petrie,,No,,,,,,,False,,False,
1523,Rahul Bhui,rahul,bhui,“Dissolving Partnerships Under Risk: An Experimental Investigation”,No,,,,,,,False,,False,
1524,Rainer Michael Rilke,rainer,rilke,"""Product ratings and externalities""",No,,,,,,,False,,False,
1525,Raisa Sherif,raisa,sherif,"""All at Once! A Comprehensive and Tractable Semi-Parametric Method to Elicit  Prospect Theory Components""",No,,,,,,,False,,False,
1526,Raj ADVANI,raj,advani,Ambiguity Aversion in Asset Market: Experimental Evidence for Home Bias,No,,,,,,,False,,False,
1527,Raj Chetty,raj,chetty,Spending Underestimation: Experimental Evidence from a Large Grocery Chain,Yes,,,,,,,,,,
1528,Rajib Prasad,rajib,prasad,Make a Difference – An Experiment on the Effectiveness of Performance Rating Policies,No,,,,,,,False,,False,
1529,Rajiv Mukherjee,rajiv,mukherjee,Is response time predictive of choice? An experimental study of threshold strategies,No,,,,,,,False,,False,
1530,Rajiv Sarin,rajiv,sarin,"""The Impact of Effective Marginal Tax Rates on Poverty Traps and Inequality""",No,,,,,,,False,,False,
1531,Ralph-C Bayer,ralph-c,bayer,"""An Experimental Study Of Bundling In Multi-Unit Auctions""",No,,,,,,,False,,False,
1532,Ralph-Christopher Bayer,ralph-christopher,bayer,"How to Influence Socially Responsible Investments - The Role of Preferences, Incentives and Information",No,,,,,,,False,,False,
1533,Rami Harb,rami,harb,"""Democratic Punishment In Public Good Games With Perfect And Imperfect Observability""",No,,,,,,,False,,False,
1534,Rami Zwick,rami,zwick,,No,,,,,,,False,,False,
1535,Ramon Cobo Reyes,ramon,reyes,(Mathematical) Complexity and Preferences for Taxation: The Case of Wealth Taxation,No,,,,,,,False,,False,
1536,Ramon Cobo-Reyes,ramon,cobo-reyes,The Good Outcomes of Bad News. A Randomized Field Experiment on Formatting Breast Cancer Screening Invitations,No,,,,,,,False,,False,
1537,Ramon COBO-REYES,ramon,cobo-reyes,“Conspicuous Compassion: What Do We Signal By Generous Donations?”,No,,,,,,,False,,False,
1538,Randall Lewis,randall,lewis,"Collective Action, Equity and Efficiency in Intergenerational Games",No,,,,,,,False,,False,
1539,Ranveig Falch,ranveig,falch,Choosing the pen or the sword? Communication as an endogenous institutional choice in public goods games,No,,,,,,,False,,False,
1540,Raphael Brade,raphael,brade,"""Social capital inequalities in a sparse network: The effect of population size, recommendations and long-distance relations' costs.""",No,,,,,,,False,,False,
1541,Raphael Epperson,raphael,epperson,"""Private Transportation Options and Incidences of Rape: The Case of Uber in U.S. Cities""",No,,,,,,,False,,False,
1542,Ravi Vora,ravi,vora,,No,,,,,,,False,,False,
1543,Rawadee Jarungrattanapong,rawadee,jarungrattanapong,Incumbency Dominance in Letters to the Editor: Field Experimental Evidence,No,,,,,,,False,,False,
1544,RC Xi Zhi Lim,rc,lim,"Losing funds, or losing face? Reputation and accountability in the credit rating industry",Yes,,,,,,,,,,
1545,Rebecca Morton,rebecca,morton,“Asset Markets with Insider Trading Regulations: An Experimental Analysis”,No,,,,,,,False,,False,
1546,Rebecca Royer,rebecca,royer,"""Costly information acquisition in centralized matching markets""",No,,,,,,,False,,False,
1547,Rebecca Thornton,rebecca,thornton,The Hindsight Bias in Decisions between a Principal and Agent,No,,,,,,,False,,False,
1548,Redzo Mujcic,redzo,mujcic,"The social preferences of democratically elected decision-makers: fairer, but sometimes at the cost of efficiency.",No,,,,,,,False,,False,
1549,Regine Oexl,regine,oexl,The effects of ritualized behavior on economic decision making under stress,No,,,,,,,False,,False,
1550,Régis Deloche,régis,deloche,Behavioral and neurobiological effects of expert advice on risky decision making,No,,,,,,,False,,False,
1551,Régis DELOCHE,régis,deloche,The action-evaluation model of norms,No,,,,,,,False,,False,
1552,Rémi Suchon,rémi,suchon,Behavioral Effects of Student Loan Repayment Plan Offerings on Borrowers' Career Decisions,No,,,,,,,False,,False,
1553,Remy Levin,remy,levin,Exposure to economic inequality at the age of 8 enhances prosocial behaviour in adult life,Yes,,,,,,,,,,
1554,Renata Kosíková,renata,kosíková,Preferences for the allocation of production rewards between capital and labor,No,,,,,,,False,,False,
1555,Rene Levinsky,rene,levinsky,"""Truth-Telling In Matching Mechanism And The Manipulation Of Others""",No,,,,,,,False,,False,
1556,Rene Schwaiger,rene,schwaiger,"""Equality of opportunity in a random dictator game: an artefactual field experiment""",No,,,,,,,False,,False,
1557,Renke Schmacker,renke,schmacker,"""The Bright Side of Dark Markets: Experiments""",No,,,,,,,False,,False,
1558,Ricardo de la O,ricardo,o,"“Cognitive Skills, Strategic Sophistication and Life Outcomes”",No,,,,,,,False,,False,
1559,Ricardo Perez Truglia,ricardo,truglia,"""Tax Compliance of Firms using a Natural Field Experiment""",No,,,,,,,False,,False,
1560,Ricardo Perez-Truglia,ricardo,perez-truglia,Panel,Yes,,,,,,,,,,
1561,Ricardo Serrano-Padial,ricardo,serrano-padial,Social framing effects in leadership: preferences or beliefs?,No,,,,,,,False,,False,
1562,Riccardo Camboni,riccardo,camboni,"“Anti‐social punishment and the Optional Public Goods Game: A lab experiment in the field,”",No,,,,,,,False,,False,
1563,Riccardo Ghidoni,riccardo,ghidoni,The effect of social norms on COVID-19 vaccination readiness,No,,,,,,,False,,False,
1564,Riccardo Pedersini,riccardo,pedersini,TBA,No,,,,,,,False,,False,
1565,Rick Wilson,rick,wilson,Biases in Beliefs: Experimental Evidence,Yes,,,,,,,,,,
1566,Rimvydas Baltadounis,rimvydas,baltadounis,Pure Numbers Effects and Market Power: New Results from Near Continuous Posted-Offer Markets,No,,,,,,,False,,False,
1567,Rimvydas Baltaduonis,rimvydas,baltaduonis,"""The Anchoring Effect in Bargaining""",No,,,,,,,False,,False,
1568,Ritwik Banerjee,ritwik,banerjee,Observing Parents' Punishment Promotes Norm Obedience among Children,No,,,,,,,False,,False,
1569,Rivin Perinchery,rivin,perinchery,,No,,,,,,,False,,False,
1570,Rizal Adi Prima,rizal,prima,Incentive Substitutability and Heterogenous Motives in an Innovation Contest - Field Experimental Evidence,No,,,,,,,False,,False,
1571,Ro'i Zultan,ro'i,zultan,"""Social Comparison and Risk-Taking""",No,,,,,,,False,,False,
1572,Ro'i ZULTAN,ro'i,zultan,“Dealer Competition and Financial Market Performance: An Experimental Analysis of Monopoly and Duopoly Structures”,No,,,,,,,False,,False,
1573,Robert Beekman,robert,beekman,Product Market Reputation and Capital Acquisition: An Experimental Study,No,,,,x,,,False,,True,No exp 
1574,Robert Slonim,robert,slonim,Bank Run Psychology,Yes,,,,,,,,,,
1575,Roberto Amaral Santos,roberto,santos,"Aspirations, Poverty and Education: Can a role model intervention mitigate the consequences of deprivation? Lessons from Ecuador",No,,,,x,,,False,,True,no exp
1576,Roberto Di Paolo,roberto,paolo,"""How might inequalities between nations impact the international effort to avert climate change?""",Yes,,,,,,,,,,
1577,Roberto Weber,roberto,weber,"""Gender Identity and Economic Decision Making""",Yes,,,,,,,,,,
1578,Robin Musolff,robin,musolff,Effect of (cheap talk) communication in heterogeneous group contests with incomplete information: An experimental analysis,No,,,,,,,False,,True,Maybe we can add his ongoing project to chapter 23: https://www.lmusolff.com/?
1579,Robin Ng,robin,ng,,No,,,,x,,,False,,True,no exp
1580,Roger WALDECK,roger,waldeck,“Out Of Your Mind - Estimating The Level-k Model”,No,,,,x,,,False,,True,No exp
1581,Roman-Gabriel Olar,roman-gabriel,olar,"""Social preferences and the transmission of narratives""",No,,,,x,,,False,,True,
1582,Rongrong Fu,rongrong,fu,Are groups really more dishonest than individuals?,No,,,,x,,,False,,True,no exp
1583,Rui Silva,rui,silva,"""Bargaining under the threat of a nuclear option""",No,,,,x,,,False,,True,no exp
1584,Rui Wang,rui,wang,"Six Contradicting Deviations from Rational Choice, and the Impact of Experience",No,,,,x,,,False,,True,no exp
1585,Ruixin Jia,ruixin,jia,,No,,,,x,,,False,,True,no exp
1586,Ruokang Han,ruokang,han,Eliciting Preferences with Rank-ordered? Choices,No,,,,x,,,False,,True,
1587,Sabine Kröger,sabine,kröger,Contracting for Information Goods: A Field Experiment at Google Answers,Yes,,,,,,,,,,
1588,Sabrina Jeworrek,sabrina,jeworrek,"""Enhancing tax compliance by increasing information salience: Natural field experiment""",Yes,,,,,,,,,,
1589,Sabrina Plass,sabrina,plass,Socially Embedded Risk Taking,No,,,,x,,,False,,True,
1590,Sally Sadoff,sally,sadoff,,Yes,,,,,,,,,,
1591,Salomon Israel,salomon,israel,Indivudual investment in stock market bubbles - A field experiment,No,,,,x,,,False,,True,no econ
1592,Samuel Priestley,samuel,priestley,,No,,,,x,,,False,,True,
1593,Sander Onderstal,sander,onderstal,Governing climate geoengineering: Side-payments are not enough,Yes,,,,,,,,,,
1594,Sandra Goff,sandra,goff,"""Proud to belong: The impact of ethics training on police officers in Ghana""",Yes,,,,,,,,,,
1595,Sara Adler,sara,adler,Interpersonal Influence,No,,,,x,,,False,,True,
1596,Sara Mustafazade,sara,mustafazade,"""Rational cooperation and reputation effects""",No,,,,x,,,False,,True,
1597,Sarah Elbakry,sarah,elbakry,,No,,,,x,,,False,,True,
1598,Sarah Sylvester,sarah,sylvester,,No,,,,x,,,False,,True,
